event_time,read_time,diff
1723174527743455,1723174527743475,20
1723174527744411,1723174527744430,19
1723174527744411,1723174527744430,19
1723174527745417,1723174527745440,23
1723174527745417,1723174527745441,24
1723174527745417,1723174527745441,24
1723174527746418,1723174527746441,23
1723174527746418,1723174527746441,23
1723174527746418,1723174527746442,24
1723174527747414,1723174527747437,23
1723174527747414,1723174527747437,23
1723174527747414,1723174527747437,23
1723174527748444,1723174527748468,24
1723174527748444,1723174527748469,25
1723174527748444,1723174527748469,25
1723174527749411,1723174527749429,18
1723174527749411,1723174527749429,18
1723174527750406,1723174527750425,19
1723174527750406,1723174527750425,19
1723174527750406,1723174527750425,19
1723174527751417,1723174527751439,22
1723174527751417,1723174527751440,23
1723174527751417,1723174527751440,23
1723174527752413,1723174527752435,22
1723174527752413,1723174527752436,23
1723174527752413,1723174527752436,23
1723174527753429,1723174527753462,33
1723174527753429,1723174527753463,34
1723174527754417,1723174527754440,23
1723174527754417,1723174527754441,24
1723174527754417,1723174527754441,24
1723174527755406,1723174527755426,20
1723174527755406,1723174527755426,20
1723174527757333,1723174527757355,22
1723174527757333,1723174527757355,22
1723174527757333,1723174527757356,23
1723174527758419,1723174527758441,22
1723174527758419,1723174527758442,23
1723174527759419,1723174527759443,24
1723174527759419,1723174527759443,24
1723174527759419,1723174527759443,24
1723174527760415,1723174527760436,21
1723174527760415,1723174527760436,21
1723174527761414,1723174527761434,20
1723174527761414,1723174527761434,20
1723174527761414,1723174527761435,21
1723174527762413,1723174527762433,20
1723174527762413,1723174527762433,20
1723174527763415,1723174527763436,21
1723174527763415,1723174527763436,21
1723174527764443,1723174527764467,24
1723174527764443,1723174527764467,24
1723174527764443,1723174527764468,25
1723174527765410,1723174527765428,18
1723174527765410,1723174527765429,19
1723174527766543,1723174527766568,25
1723174527766543,1723174527766569,26
1723174527767403,1723174527767421,18
1723174527767403,1723174527767422,19
1723174527768421,1723174527768444,23
1723174527768421,1723174527768444,23
1723174527769410,1723174527769433,23
1723174527769410,1723174527769433,23
1723174527770409,1723174527770429,20
1723174527770409,1723174527770429,20
1723174527771413,1723174527771436,23
1723174527771413,1723174527771436,23
1723174527771413,1723174527771437,24
1723174527772413,1723174527772435,22
1723174527772413,1723174527772436,23
1723174527773412,1723174527773435,23
1723174527773412,1723174527773436,24
1723174527774421,1723174527774444,23
1723174527774421,1723174527774444,23
1723174527775414,1723174527775437,23
1723174527775414,1723174527775438,24
1723174527775414,1723174527775438,24
1723174527776406,1723174527776425,19
1723174527776406,1723174527776425,19
1723174527777411,1723174527777433,22
1723174527777411,1723174527777433,22
1723174527777411,1723174527777434,23
1723174527778410,1723174527778432,22
1723174527778410,1723174527778432,22
1723174527779410,1723174527779432,22
1723174527779410,1723174527779432,22
1723174527779410,1723174527779433,23
1723174527780429,1723174527780467,38
1723174527780429,1723174527780468,39
1723174527781410,1723174527781431,21
1723174527781410,1723174527781432,22
1723174527781410,1723174527781432,22
1723174527782409,1723174527782431,22
1723174527782409,1723174527782431,22
1723174527782409,1723174527782432,23
1723174527783409,1723174527783430,21
1723174527783409,1723174527783431,22
1723174527784408,1723174527784430,22
1723174527784408,1723174527784430,22
1723174527784408,1723174527784431,23
1723174527785428,1723174527785459,31
1723174527785428,1723174527785460,32
1723174527785428,1723174527785460,32
1723174527786414,1723174527786438,24
1723174527786414,1723174527786439,25
1723174527787417,1723174527787442,25
1723174527787417,1723174527787443,26
1723174527787417,1723174527787443,26
1723174527788413,1723174527788437,24
1723174527788413,1723174527788438,25
1723174527788413,1723174527788438,25
1723174527789412,1723174527789434,22
1723174527789412,1723174527789435,23
1723174527789412,1723174527789435,23
1723174527790409,1723174527790431,22
1723174527790409,1723174527790432,23
1723174527791411,1723174527791434,23
1723174527791411,1723174527791434,23
1723174527791411,1723174527791435,24
1723174527792404,1723174527792422,18
1723174527792404,1723174527792423,19
1723174527792404,1723174527792423,19
1723174527793408,1723174527793431,23
1723174527793408,1723174527793431,23
1723174527793408,1723174527793432,24
1723174527794411,1723174527794434,23
1723174527794411,1723174527794434,23
1723174527795410,1723174527795431,21
1723174527795410,1723174527795432,22
1723174527795410,1723174527795432,22
1723174527796410,1723174527796435,25
1723174527796410,1723174527796435,25
