event_time,read_time,diff
1723174595530420,1723174595530470,50
1723174595530420,1723174595530471,51
1723174595531419,1723174595531465,46
1723174595531419,1723174595531466,47
1723174595531419,1723174595531466,47
1723174595532430,1723174595532493,63
1723174595532430,1723174595532494,64
1723174595532430,1723174595532494,64
1723174595533438,1723174595533506,68
1723174595533438,1723174595533507,69
1723174595533438,1723174595533507,69
1723174595534437,1723174595534513,76
1723174595534437,1723174595534513,76
1723174595534437,1723174595534514,77
1723174595535439,1723174595535505,66
1723174595535439,1723174595535505,66
1723174595535439,1723174595535506,67
1723174595536421,1723174595536471,50
1723174595536421,1723174595536471,50
1723174595536421,1723174595536472,51
1723174595537419,1723174595537468,49
1723174595537419,1723174595537469,50
1723174595537419,1723174595537469,50
1723174595538419,1723174595538469,50
1723174595538419,1723174595538469,50
1723174595538419,1723174595538470,51
1723174595539419,1723174595539473,54
1723174595539419,1723174595539474,55
1723174595539419,1723174595539474,55
1723174595540418,1723174595540468,50
1723174595540418,1723174595540468,50
1723174595540418,1723174595540469,51
1723174595541418,1723174595541467,49
1723174595541418,1723174595541468,50
1723174595541418,1723174595541468,50
1723174595542419,1723174595542468,49
1723174595542419,1723174595542468,49
1723174595542419,1723174595542469,50
1723174595543422,1723174595543473,51
1723174595543422,1723174595543473,51
1723174595543422,1723174595543474,52
1723174595544422,1723174595544473,51
1723174595544422,1723174595544473,51
1723174595544422,1723174595544474,52
1723174595545417,1723174595545467,50
1723174595545417,1723174595545467,50
1723174595545417,1723174595545468,51
1723174595546419,1723174595546472,53
1723174595546419,1723174595546472,53
1723174595546419,1723174595546473,54
1723174595547417,1723174595547464,47
1723174595547417,1723174595547465,48
1723174595547417,1723174595547465,48
1723174595548421,1723174595548481,60
1723174595548421,1723174595548482,61
1723174595548421,1723174595548482,61
1723174595549422,1723174595549489,67
1723174595549422,1723174595549489,67
1723174595549422,1723174595549490,68
1723174595550422,1723174595550491,69
1723174595550422,1723174595550491,69
1723174595550422,1723174595550492,70
1723174595551423,1723174595551476,53
1723174595551423,1723174595551477,54
1723174595551423,1723174595551477,54
1723174595552418,1723174595552467,49
1723174595552418,1723174595552468,50
1723174595552418,1723174595552468,50
1723174595553418,1723174595553467,49
1723174595553418,1723174595553467,49
1723174595553418,1723174595553468,50
1723174595554418,1723174595554465,47
1723174595554418,1723174595554466,48
1723174595554418,1723174595554466,48
1723174595555420,1723174595555468,48
1723174595555420,1723174595555468,48
1723174595555420,1723174595555469,49
1723174595556421,1723174595556471,50
1723174595556421,1723174595556471,50
1723174595556421,1723174595556471,50
1723174595557419,1723174595557470,51
1723174595557419,1723174595557471,52
1723174595557419,1723174595557471,52
1723174595558418,1723174595558469,51
1723174595558418,1723174595558469,51
1723174595558418,1723174595558469,51
1723174595559421,1723174595559469,48
1723174595559421,1723174595559470,49
1723174595559421,1723174595559470,49
1723174595560421,1723174595560478,57
1723174595560421,1723174595560478,57
1723174595560421,1723174595560479,58
1723174595561418,1723174595561468,50
1723174595561418,1723174595561468,50
1723174595561418,1723174595561468,50
1723174595562419,1723174595562472,53
1723174595562419,1723174595562472,53
1723174595562419,1723174595562472,53
1723174595563421,1723174595563468,47
1723174595563421,1723174595563469,48
1723174595563421,1723174595563469,48
1723174595564421,1723174595564492,71
1723174595564421,1723174595564493,72
1723174595564421,1723174595564494,73
1723174595565418,1723174595565481,63
1723174595565418,1723174595565482,64
1723174595565418,1723174595565482,64
1723174595566420,1723174595566474,54
1723174595566420,1723174595566474,54
1723174595566420,1723174595566475,55
1723174595567422,1723174595567474,52
1723174595567422,1723174595567474,52
1723174595567422,1723174595567475,53
1723174595568423,1723174595568469,46
1723174595568423,1723174595568470,47
1723174595568423,1723174595568470,47
1723174595569419,1723174595569470,51
1723174595569419,1723174595569470,51
1723174595569419,1723174595569470,51
1723174595570419,1723174595570468,49
1723174595570419,1723174595570468,49
1723174595570419,1723174595570468,49
1723174595571419,1723174595571472,53
1723174595571419,1723174595571473,54
1723174595571419,1723174595571473,54
1723174595572419,1723174595572467,48
1723174595572419,1723174595572467,48
1723174595573417,1723174595573468,51
1723174595573417,1723174595573469,52
1723174595575245,1723174595575328,83
1723174595575245,1723174595575329,84
1723174595576448,1723174595576552,104
1723174595576448,1723174595576553,105
1723174595577437,1723174595577493,56
1723174595577437,1723174595577493,56
1723174595577437,1723174595577493,56
1723174595578441,1723174595578496,55
1723174595578441,1723174595578496,55
1723174595578441,1723174595578497,56
1723174595579419,1723174595579470,51
1723174595579419,1723174595579471,52
1723174595579419,1723174595579471,52
1723174595580415,1723174595580466,51
1723174595580415,1723174595580466,51
1723174595580415,1723174595580467,52
1723174595581421,1723174595581470,49
1723174595581421,1723174595581470,49
1723174595581421,1723174595581471,50
1723174595582431,1723174595582481,50
1723174595582431,1723174595582482,51
1723174595582431,1723174595582482,51
1723174595583422,1723174595583486,64
1723174595583422,1723174595583486,64
1723174595583422,1723174595583486,64
1723174595584438,1723174595584546,108
1723174595584438,1723174595584547,109
1723174595584438,1723174595584547,109
1723174595585425,1723174595585483,58
1723174595585425,1723174595585484,59
1723174595585425,1723174595585484,59
1723174595586414,1723174595586465,51
1723174595586414,1723174595586465,51
1723174595586414,1723174595586466,52
1723174595587412,1723174595587461,49
1723174595587412,1723174595587462,50
1723174595587412,1723174595587462,50
1723174595588419,1723174595588471,52
1723174595588419,1723174595588471,52
1723174595588419,1723174595588472,53
1723174595589416,1723174595589471,55
1723174595589416,1723174595589472,56
1723174595589416,1723174595589472,56
1723174595590418,1723174595590470,52
1723174595590418,1723174595590470,52
1723174595590418,1723174595590471,53
1723174595591409,1723174595591459,50
1723174595591409,1723174595591460,51
1723174595591409,1723174595591460,51
1723174595592436,1723174595592485,49
1723174595592436,1723174595592485,49
1723174595592436,1723174595592485,49
1723174595593432,1723174595593482,50
1723174595593432,1723174595593483,51
1723174595593432,1723174595593483,51
1723174595594417,1723174595594467,50
1723174595594417,1723174595594467,50
1723174595594417,1723174595594467,50
1723174595595412,1723174595595460,48
1723174595595412,1723174595595460,48
1723174595595412,1723174595595460,48
1723174595596414,1723174595596463,49
1723174595596414,1723174595596463,49
1723174595596414,1723174595596464,50
1723174595597409,1723174595597457,48
1723174595597409,1723174595597457,48
1723174595597409,1723174595597458,49
1723174595598415,1723174595598463,48
1723174595598415,1723174595598464,49
1723174595598415,1723174595598464,49
1723174595599419,1723174595599475,56
1723174595599419,1723174595599476,57
1723174595599419,1723174595599476,57
1723174595600443,1723174595600507,64
1723174595600443,1723174595600507,64
1723174595600443,1723174595600508,65
1723174595601421,1723174595601470,49
1723174595601421,1723174595601470,49
1723174595601421,1723174595601470,49
1723174595602414,1723174595602463,49
1723174595602414,1723174595602463,49
1723174595602414,1723174595602464,50
1723174595603414,1723174595603461,47
1723174595603414,1723174595603461,47
1723174595603414,1723174595603462,48
1723174595604415,1723174595604471,56
1723174595604415,1723174595604472,57
1723174595604415,1723174595604472,57
1723174595605414,1723174595605464,50
1723174595605414,1723174595605465,51
1723174595605414,1723174595605465,51
1723174595606429,1723174595606477,48
1723174595606429,1723174595606478,49
1723174595606429,1723174595606478,49
1723174595607428,1723174595607496,68
1723174595607428,1723174595607496,68
1723174595607428,1723174595607497,69
1723174595608423,1723174595608479,56
1723174595608423,1723174595608479,56
1723174595608423,1723174595608480,57
1723174595609411,1723174595609461,50
1723174595609411,1723174595609461,50
1723174595609411,1723174595609462,51
1723174595610415,1723174595610469,54
1723174595610415,1723174595610469,54
1723174595610415,1723174595610469,54
1723174595611414,1723174595611469,55
1723174595611414,1723174595611469,55
1723174595611414,1723174595611469,55
1723174595612412,1723174595612461,49
1723174595612412,1723174595612462,50
1723174595612412,1723174595612462,50
1723174595613415,1723174595613463,48
1723174595613415,1723174595613464,49
1723174595613415,1723174595613464,49
1723174595614423,1723174595614474,51
1723174595614423,1723174595614474,51
1723174595614423,1723174595614474,51
1723174595615415,1723174595615464,49
1723174595615415,1723174595615465,50
1723174595615415,1723174595615465,50
1723174595616415,1723174595616463,48
1723174595616415,1723174595616463,48
1723174595616415,1723174595616463,48
1723174595617414,1723174595617461,47
1723174595617414,1723174595617462,48
1723174595617414,1723174595617462,48
1723174595618422,1723174595618473,51
1723174595618422,1723174595618473,51
1723174595618422,1723174595618473,51
1723174595619414,1723174595619461,47
1723174595619414,1723174595619461,47
1723174595619414,1723174595619462,48
1723174595620412,1723174595620460,48
1723174595620412,1723174595620461,49
1723174595620412,1723174595620461,49
1723174595621420,1723174595621475,55
1723174595621420,1723174595621475,55
1723174595621420,1723174595621475,55
1723174595622411,1723174595622460,49
1723174595622411,1723174595622461,50
1723174595622411,1723174595622461,50
1723174595623432,1723174595623482,50
1723174595623432,1723174595623482,50
1723174595623432,1723174595623483,51
1723174595624422,1723174595624471,49
1723174595624422,1723174595624471,49
1723174595624422,1723174595624472,50
1723174595625415,1723174595625470,55
1723174595625415,1723174595625470,55
1723174595625415,1723174595625470,55
1723174595626413,1723174595626462,49
1723174595626413,1723174595626463,50
1723174595626413,1723174595626463,50
1723174595627414,1723174595627461,47
1723174595627414,1723174595627462,48
1723174595627414,1723174595627462,48
1723174595628413,1723174595628466,53
1723174595628413,1723174595628466,53
1723174595628413,1723174595628467,54
1723174595629427,1723174595629487,60
1723174595629427,1723174595629487,60
1723174595629427,1723174595629487,60
1723174595630406,1723174595630450,44
1723174595630406,1723174595630451,45
1723174595630406,1723174595630451,45
